feature,p_value,effect_size,significant
V3,2.0043026767838348e-72,1.3147686018959333,True
v_std,3.341715900321251e-24,1.209853493015781,True
v_max,1.4462031943283612e-20,1.129778648915432,True
V1_V3_interaction,3.357297705660252e-19,0.9429910189210771,True
v_min,1.551305956016046e-15,0.8779600263456521,True
V2,1.5952431112514036e-41,0.8173227433738258,True
Amount,1.953387632441283e-21,0.7870859502343859,True
amount_log,2.0298502130715178e-29,0.7715509899061891,True
V1,6.130007082316064e-39,0.7606763300327455,True
V1_V2_interaction,9.694702876101237e-14,0.6757817265590009,True
amount_rolling_mean,2.7998300832106218e-06,0.2544190709300222,True
amount_rolling_std,9.610465681651738e-06,0.22112418132897385,True
V7,0.02146072800163028,0.10668118100763693,True
v_mean,0.08889309601536209,0.09116643715986349,False
V16,0.11672448585261683,0.07895114396115528,False
V15,0.15297553974238393,0.07685842301905933,False
V27,0.244266745611937,0.06038799150466522,False
V4,0.2601547238552337,0.05817047567321384,False
V18,0.33288847866671056,0.05022817588812104,False
V20,0.3833819811853201,0.04639873578443532,False
V12,0.3576818414341034,0.04554383067391767,False
V25,0.41729212252805303,0.0430147367106498,False
V17,0.4490306641122349,0.03956303259340095,False
V21,0.511280290432897,0.03358251445668882,False
V10,0.546862732082978,0.030105333581546996,False
V5,0.5563265286534952,0.029059187963242722,False
V13,0.579389580100415,0.028903042790290042,False
Time,0.5938195897272962,0.026998420541091882,False
V19,0.6277036934553594,0.023492262071868903,False
V8,0.6843125313482092,0.01848289170658728,False
V24,0.7382413886866752,0.018253431328447783,False
V14,0.7848945835885492,0.013683461605519861,False
V11,0.8323963056601613,0.010981189377159103,False
V23,0.9082543284141831,0.005690947459770866,False
V9,0.9560324354475332,0.002795723125268948,False
V22,0.9699306115561677,0.0018732226065241132,False
V28,0.9761051734351474,0.001473454736372924,False
V6,0.9779897005510884,0.0014575230085492547,False
V26,0.9797457380520218,0.0012490502361829877,False
hour_sin,,,False
hour_cos,,,False
